H-933A1,152,high-explosive fragmentation,23
H-933A1,152,high-explosive fragmentation,23
H-933A1,152,high-explosive fragmentation,23
H-933A1,152,high-explosive fragmentation,23
H-933A1,152,high-explosive fragmentation,23
H-933A1,152,high-explosive fragmentation,23
H-933A1,152,high-explosive fragmentation,23
H-933A1,152,high-explosive fragmentation,23
H-933A1,152,high-explosive fragmentation,23
H-933A1,152,high-explosive fragmentation,23
H-933A1,152,high-explosive fragmentation,23
H-933A1,152,high-explosive fragmentation,23
H-933A1,152,high-explosive fragmentation,23
H-933A1,152,high-explosive fragmentation,23
H-933A1,152,high-explosive fragmentation,23
H-933A1,152,high-explosive fragmentation,23
H-933A1,152,high-explosive fragmentation,23
H-933A1,152,high-explosive fragmentation,23
H-933A1,152,high-explosive fragmentation,23
H-933A1,152,high-explosive fragmentation,23
H-933A1,152,high-explosive fragmentation,23
H-933A1,152,high-explosive fragmentation,23
H-933A1,152,high-explosive fragmentation,23
H-933A1,152,high-explosive fragmentation,23
H-933A1,152,high-explosive fragmentation,23
H-933A1,152,high-explosive fragmentation,23
H-933A1,152,high-explosive fragmentation,23
H-933A1,152,high-explosive fragmentation,23
H-933A1,152,high-explosive fragmentation,23
H-933A1,152,high-explosive fragmentation,23
