H-5B909,122,high-explosive fragmentation,19
H-5B909,122,high-explosive fragmentation,19
H-5B909,122,high-explosive fragmentation,19
H-5B909,122,high-explosive fragmentation,19
H-5B909,122,high-explosive fragmentation,19
H-5B909,122,high-explosive fragmentation,19
H-5B909,122,high-explosive fragmentation,19
H-5B909,122,high-explosive fragmentation,19
H-5B909,122,high-explosive fragmentation,19
H-5B909,122,high-explosive fragmentation,19
H-5B909,122,high-explosive fragmentation,19
H-5B909,122,high-explosive fragmentation,19
H-5B909,122,high-explosive fragmentation,19
H-5B909,122,high-explosive fragmentation,19
H-5B909,122,high-explosive fragmentation,19
H-5B909,122,high-explosive fragmentation,19
H-5B909,122,high-explosive fragmentation,19
H-5B909,122,high-explosive fragmentation,19
H-5B909,122,high-explosive fragmentation,19
H-5B909,122,high-explosive fragmentation,19
H-5B909,122,high-explosive fragmentation,19
H-5B909,122,high-explosive fragmentation,19
H-5B909,122,high-explosive fragmentation,19
H-5B909,122,high-explosive fragmentation,19
H-5B909,122,high-explosive fragmentation,19
H-5B909,122,high-explosive fragmentation,19
H-5B909,122,high-explosive fragmentation,19
H-5B909,122,high-explosive fragmentation,19
H-5B909,122,high-explosive fragmentation,19
H-5B909,122,high-explosive fragmentation,19
H-D321,122,high-explosive fragmentation,21
H-D321,122,high-explosive fragmentation,21
H-D321,122,high-explosive fragmentation,21
H-D321,122,high-explosive fragmentation,21
H-D321,122,high-explosive fragmentation,21
H-D321,122,high-explosive fragmentation,21
H-D321,122,high-explosive fragmentation,21
H-D321,122,high-explosive fragmentation,21
H-D321,122,high-explosive fragmentation,21
H-D321,122,high-explosive fragmentation,21
H-D321,122,high-explosive fragmentation,21
H-D321,122,high-explosive fragmentation,21
H-D321,122,high-explosive fragmentation,21
H-D321,122,high-explosive fragmentation,21
H-D321,122,high-explosive fragmentation,21
H-D321,122,high-explosive fragmentation,21
H-D321,122,high-explosive fragmentation,21
H-D321,122,high-explosive fragmentation,21
H-D321,122,high-explosive fragmentation,21
H-D321,122,high-explosive fragmentation,21
H-D321,122,high-explosive fragmentation,21
H-D321,122,high-explosive fragmentation,21
H-D321,122,high-explosive fragmentation,21
H-D321,122,high-explosive fragmentation,21
H-S3S1,122,fire,25
H-S3S1,122,fire,25
H-S3S1,122,fire,25
H-S3S1,122,fire,25
H-S3S1,122,fire,25
H-S3S1,122,fire,25
H-S3S1,122,fire,25
H-S3S1,122,fire,25
H-S3S1,122,fire,25
H-S3S1,122,fire,25
H-S3S1,122,fire,25
H-S3S1,122,fire,25
H-S3S1,122,fire,25
H-S3S1,122,fire,25
H-S3S1,122,fire,25
H-S3S1,122,fire,25
